Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
"Subtask 4.1.3: Implement moderation tools (e.g., delete/edit posts).",SCRUM-73,10072,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:06 PM,06/Jan/25 11:07 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-35,,,,,,,,,,,,,,,,,,,,,,,0|i0001i:,,,Sprint 4,,,,,,,,,,,,,,To Do,06/Jan/25 11:07 PM
Subtask 4.1.2: Implement back-end functionality for posting and replying to topics.,SCRUM-72,10071,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:06 PM,06/Jan/25 11:07 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-35,,,,,,,,,,,,,,,,,,,,,,,0|i0001h:,,,Sprint 4,,,,,,,,,,,,,,To Do,06/Jan/25 11:07 PM
Subtask 4.1.1: Design the forum layout and user interface.,SCRUM-71,10070,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:06 PM,06/Jan/25 11:06 PM,06/Jan/25 9:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-35,,,,,,,,,,,,,,,,,,,,,,,0|i0001f:,,,Sprint 4,,,,,,,,,,,,,,To Do,06/Jan/25 11:06 PM
Subtask 3.3.4: Optimize the feature for mobile use.,SCRUM-70,10069,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:05 PM,06/Jan/25 11:06 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-34,,,,,,,,,,,,,,,,,,,,,,,0|i0001i:5,,,Sprint 3,,,,,,,,,,,,,,To Do,06/Jan/25 11:06 PM
Subtask 3.3.3: Test the search and filter functionality for accuracy and speed.,SCRUM-69,10068,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:05 PM,06/Jan/25 11:06 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-34,,,,,,,,,,,,,,,,,,,,,,,0|i0001c:d,,,Sprint 3,,,,,,,,,,,,,,To Do,06/Jan/25 11:06 PM
"Subtask 3.3.2: Develop filters (e.g., category, date, popularity) for the resources.",SCRUM-68,10067,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:05 PM,06/Jan/25 11:06 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-34,,,,,,,,,,,,,,,,,,,,,,,0|i0001i:6,,,Sprint 3,,,,,,,,,,,,,,To Do,06/Jan/25 11:06 PM
Subtask 3.3.1: Implement a search bar to search for resources in the library.,SCRUM-67,10066,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:05 PM,06/Jan/25 11:06 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-34,,,,,,,,,,,,,,,,,,,,,,,0|i0001h:zi,,,Sprint 3,,,,,,,,,,,,,,To Do,06/Jan/25 11:06 PM
Subtask 3.2.4: Test the download links to ensure they work correctly.,SCRUM-66,10065,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:04 PM,06/Jan/25 11:06 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-33,,,,,,,,,,,,,,,,,,,,,,,0|i0001i:d,,,Sprint 3,,,,,,,,,,,,,,To Do,06/Jan/25 11:06 PM
Subtask 3.2.3: Implement a download functionality (button/link).,SCRUM-65,10064,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:04 PM,06/Jan/25 11:06 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-33,,,,,,,,,,,,,,,,,,,,,,,0|i0001h:z,,,Sprint 3,,,,,,,,,,,,,,To Do,06/Jan/25 11:06 PM
Subtask 3.2.2: Format and upload these resources to the platform.,SCRUM-64,10063,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:04 PM,06/Jan/25 11:06 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-33,,,,,,,,,,,,,,,,,,,,,,,0|i0001i:9,,,Sprint 3,,,,,,,,,,,,,,To Do,06/Jan/25 11:06 PM
"Subtask 3.2.1: Gather downloadable resources (templates, guides, etc.) from reliable sources.",SCRUM-63,10062,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:04 PM,06/Jan/25 11:06 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-33,,,,,,,,,,,,,,,,,,,,,,,0|i0001c:9,,,Sprint 3,,,,,,,,,,,,,,To Do,06/Jan/25 11:06 PM
Subtask 3.1.4: Implement a responsive design for the library page.,SCRUM-62,10061,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:03 PM,06/Jan/25 11:06 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-32,,,,,,,,,,,,,,,,,,,,,,,0|i0001i:m,,,Sprint 3,,,,,,,,,,,,,,To Do,06/Jan/25 11:06 PM
"Subtask 3.1.2: Categorize resources (Scrum, Kanban, etc.) and organize them in the library.",SCRUM-61,10060,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:03 PM,06/Jan/25 11:06 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-32,,,,,,,,,,,,,,,,,,,,,,,0|i0001i:r,,,Sprint 3,,,,,,,,,,,,,,To Do,06/Jan/25 11:06 PM
Subtask 3.1.1: Create a structure and layout for the library.,SCRUM-60,10059,Story,To Do,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:03 PM,06/Jan/25 11:06 PM,06/Jan/25 11:06 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-32,,,,,,,,,,,,,,,,,,,,,,,0|i0001c:,,,Sprint 3,,,,,,,,,,,,,,To Do,06/Jan/25 11:06 PM
Subtask 2.3.4: Review and update the content for clarity and engagement.,SCRUM-59,10058,Story,In Progress,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:01 PM,06/Jan/25 11:06 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-31,,,,,,,,,,,,,,,,,,,,,,,0|i0000s:6,,,Sprint 2,,,,,,,,,,,,,,In Progress,06/Jan/25 11:06 PM
Subtask 2.3.2: Write explanations for each example.,SCRUM-58,10057,Story,In Progress,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:01 PM,06/Jan/25 11:05 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-31,,,,,,,,,,,,,,,,,,,,,,,0|i0000r:m,,,Sprint 2,,,,,,,,,,,,,,In Progress,06/Jan/25 11:05 PM
Subtask 2.3.1: Research real-life examples for each Agile value and principle.,SCRUM-57,10056,Story,In Progress,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:01 PM,06/Jan/25 10:49 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-31,,,,,,,,,,,,,,,,,,,,,,,0|i0000t:,,,Sprint 2,,,,,,,,,,,,,,In Progress,06/Jan/25 10:49 PM
Subtask 2.3.4: Review and update the content for clarity and engagement.,SCRUM-56,10055,Story,In Progress,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:01 PM,06/Jan/25 10:49 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-31,,,,,,,,,,,,,,,,,,,,,,,0|i0000t:6,,,Sprint 2,,,,,,,,,,,,,,In Progress,06/Jan/25 10:49 PM
Subtask 2.3.2: Write explanations for each example.,SCRUM-55,10054,Story,In Progress,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:01 PM,06/Jan/25 11:05 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-31,,,,,,,,,,,,,,,,,,,,,,,0|i0000r:k,,,Sprint 2,,,,,,,,,,,,,,In Progress,06/Jan/25 11:05 PM
Subtask 2.3.1: Research real-life examples for each Agile value and principle.,SCRUM-54,10053,Story,In Progress,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:01 PM,06/Jan/25 10:49 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-31,,,,,,,,,,,,,,,,,,,,,,,0|i0000t:d,,,Sprint 2,,,,,,,,,,,,,,In Progress,06/Jan/25 10:49 PM
Subtask 2.2.4: Test the interaction for smooth functionality and UX.,SCRUM-53,10052,Story,In Progress,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:00 PM,06/Jan/25 10:17 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-30,,,,,,,,,,,,,,,,,,,,,,,0|i0000t:v,,,Sprint 2,,,,,,,,,,,,,,In Progress,06/Jan/25 10:17 PM
"Subtask 2.2.2: Develop an interactive feature (e.g., hover, clickable items) to explain each principle.",SCRUM-52,10051,Story,In Progress,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:00 PM,06/Jan/25 10:17 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-30,,,,,,,,,,,,,,,,,,,,,,,0|i0000t:r,,,Sprint 2,,,,,,,,,,,,,,In Progress,06/Jan/25 10:17 PM
Subtask 2.2.1: Create a list of the 12 Agile principles.,SCRUM-51,10050,Story,In Progress,SCRUM,Creating an Agile Manifesto with a Student Project,software,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,Medium,,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,06/Jan/25 9:00 PM,06/Jan/25 11:05 PM,06/Jan/25 11:27 PM,,,0,,,C S Rahav,712020:afc4d641-b7ec-4b1a-ad28-a0d4e83964fb,,,,,,,,,SCRUM-30,,,,,,,,,,,,,,,,,,,,,,,0|i0000r:r,,,Sprint 2,,,,,,,,,,,,,,In Progress,06/Jan/25 11:05 PM
